Timestamp,x1,x2,x3,x4,x5,y1,y2,y3,y4,y5,rx,ry,r_yaw
1730821395467765248,3.05,0.5,2.05,-2.21,10.34,-1.55,10.22,1.36,7.14,-5.78,4.874509192987388,-4.532860654765452,1.3421934640573805
1730821395567682560,3.05,0.5,2.05,-2.21,10.34,-1.55,10.22,1.36,7.14,-5.78,4.8747177533282775,-4.5333781639534045,1.3421736223556182
1730821395667667456,3.05,0.5,2.05,-2.21,10.34,-1.55,10.22,1.36,7.14,-5.78,4.8757120658452635,-4.534810528981696,1.3422927149099597
1730821395767801600,3.05,0.49,2.05,-2.21,10.33,-1.54,10.22,1.36,7.14,-5.78,4.874589667222022,-4.5334151143197285,1.3422916300005097
1730821395867643392,3.05,0.49,2.05,-2.21,10.33,-1.54,10.22,1.35,7.14,-5.78,4.874816036261861,-4.533491723623985,1.3421046075887593
1730821395967715584,3.05,0.49,2.05,-2.21,10.33,-1.54,10.22,1.35,7.14,-5.78,4.8750247847126325,-4.53376284463161,1.3423340117911293
1730821396067714560,3.05,0.49,2.06,-2.21,10.33,-1.54,10.22,1.35,7.14,-5.78,4.8751416465710005,-4.533328667515352,1.3420955662905791
1730821396167709440,3.05,0.49,2.06,-2.21,10.33,-1.54,10.22,1.35,7.13,-5.77,4.87559224545878,-4.5335047239082815,1.342339317201049
1730821396267802112,3.05,0.49,2.06,-2.21,10.33,-1.54,10.22,1.35,7.13,-5.77,4.874837192413663,-4.533865948523571,1.342254786609958
1730821396367807488,3.05,0.49,2.06,-2.21,10.33,-1.54,10.22,1.35,7.13,-5.77,4.875326963713133,-4.533671643402936,1.3420945435615435
1730821396467791360,3.05,0.48,2.06,-2.21,10.32,-1.53,10.22,1.35,7.13,-5.77,4.87400859032685,-4.532870506785543,1.3420804237188049
1730821396567642368,3.05,0.48,2.06,-2.21,10.32,-1.53,10.22,1.34,7.13,-5.77,4.874654213956899,-4.533532820355999,1.3419945767178052
1730821396667782400,3.05,0.48,2.06,-2.21,10.32,-1.53,10.22,1.34,7.13,-5.77,4.875014510972127,-4.533538682435074,1.342131812935788
1730821396767874304,3.05,0.48,2.07,-2.21,10.32,-1.53,10.22,1.34,7.13,-5.77,4.875212530872001,-4.533204557803695,1.3421930917038805
1730821396867696384,3.05,0.48,2.07,-2.21,10.32,-1.53,10.22,1.34,7.12,-5.76,4.875326547751813,-4.532946415789008,1.3421062212765114
1730821396967736320,3.05,0.48,2.07,-2.21,10.32,-1.53,10.22,1.34,7.12,-5.76,4.874900465808137,-4.533804003047775,1.342377785246583
