timestamp,robot_x,robot_y,robot_yaw_rad,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
1730827966908298240,5.255927705072586,-5.216534701189392,1.2869867553069092,11.07,-1.4,7.78,1.06,2.84,0.7,2.19,-2.73,7.17,-4.95
1730827967008234240,5.256659103896845,-5.218082102912398,1.287031382124871,11.07,-1.39,7.78,1.06,2.84,0.7,2.19,-2.73,7.17,-4.95
1730827967108329216,5.257477426382697,-5.21813799853392,1.2878897392128397,11.06,-1.39,7.78,1.06,2.84,0.7,2.19,-2.73,7.17,-4.95
1730827967208327168,5.256920895614711,-5.216757196923824,1.2873875195274338,11.06,-1.38,7.78,1.06,2.84,0.7,2.19,-2.73,7.17,-4.95
1730827967308269312,5.2575010892866,-5.217787275537321,1.287663593746084,11.06,-1.37,7.78,1.06,2.84,0.7,2.19,-2.73,7.17,-4.95
1730827967408268544,5.2580818535274805,-5.218637932291818,1.288320628301724,11.05,-1.37,7.78,1.06,2.84,0.7,2.19,-2.73,7.17,-4.95
1730827967508295424,5.257799293918404,-5.217318892967996,1.2882279526188278,11.05,-1.36,7.78,1.06,2.85,0.69,2.19,-2.73,7.17,-4.95
1730827967608269568,5.259330835814254,-5.217863345514625,1.288395665156316,11.05,-1.35,7.78,1.06,2.85,0.69,2.19,-2.73,7.17,-4.95
1730827967708287232,5.259670974086604,-5.218893300381243,1.288396240518065,11.03,-1.37,7.77,1.05,2.85,0.69,2.19,-2.73,7.17,-4.94
1730827967808213504,5.259065505845219,-5.218759605495189,1.2888157151063555,11.01,-1.39,7.76,1.04,2.85,0.69,2.19,-2.72,7.16,-4.94
1730827967908263424,5.259123803622408,-5.218042956362871,1.2884992425097073,11.0,-1.41,7.76,1.03,2.85,0.69,2.2,-2.72,7.16,-4.93
1730827968008117504,5.260330342148157,-5.222006876306032,1.292301803868414,10.98,-1.43,7.75,1.02,2.85,0.69,2.2,-2.72,7.16,-4.92
1730827968108340480,5.264566855567224,-5.218028004876102,1.3296461762809575,10.97,-1.45,7.74,1.01,2.85,0.69,2.2,-2.72,7.15,-4.92
1730827968208353536,5.273314009303183,-5.196741411333228,1.3765735463576172,10.95,-1.47,7.73,1.01,2.85,0.69,2.2,-2.72,7.15,-4.91
1730827968308298240,5.282171905632378,-5.166255180410892,1.3998828050853027,10.94,-1.49,7.72,1.0,2.85,0.69,2.2,-2.72,7.15,-4.9
1730827968408242432,5.286081003621934,-5.146511523520152,1.4065457728023003,10.92,-1.51,7.71,0.99,2.85,0.69,2.2,-2.72,7.14,-4.9
1730827968508231424,5.289206532938289,-5.129387248308807,1.4103529270166977,10.9,-1.53,7.7,0.98,2.85,0.69,2.2,-2.72,7.14,-4.89
1730827968608260352,5.294131666041982,-5.105606190618898,1.4172651818427415,10.89,-1.54,7.7,0.97,2.85,0.69,2.2,-2.72,7.14,-4.88
1730827968708380160,5.297948948741036,-5.084485723028779,1.4228052029872775,10.81,-1.54,7.66,0.9,2.89,0.64,2.24,-2.71,7.11,-4.81
1730827968808269568,5.301920275675642,-5.06045956535659,1.4320397975558028,10.74,-1.54,7.62,0.83,2.92,0.58,2.27,-2.69,7.09,-4.73
1730827968908320512,5.305092177358991,-5.0440903478043975,1.443055823754229,10.66,-1.54,7.58,0.77,2.96,0.53,2.3,-2.68,7.06,-4.66
1730827969008420352,5.309504765156286,-5.025919078754131,1.460736547654654,10.59,-1.54,7.54,0.7,3.0,0.48,2.34,-2.67,7.04,-4.58
1730827969108399360,5.31220043877262,-5.004195094716453,1.4702637867036197,10.51,-1.54,7.5,0.63,3.04,0.43,2.37,-2.66,7.02,-4.5
1730827969208312320,5.316439806397437,-4.986033681422792,1.4688212013697226,10.44,-1.54,7.46,0.57,3.08,0.38,2.41,-2.65,6.99,-4.43
1730827969308572416,5.31945102417575,-4.9608859287463565,1.4658032511695336,10.36,-1.54,7.42,0.5,3.11,0.32,2.44,-2.64,6.97,-4.35
1730827969408273152,5.321037060955172,-4.938099730640048,1.458348985425797,10.29,-1.54,7.38,0.43,3.15,0.27,2.47,-2.63,6.94,-4.28
1730827969508266240,5.323065625423463,-4.920688377350875,1.454411169971285,10.21,-1.54,7.34,0.37,3.19,0.22,2.51,-2.62,6.92,-4.2
1730827969608362496,5.3281509526198745,-4.90142479536979,1.4487946066334063,10.14,-1.54,7.3,0.3,3.23,0.17,2.54,-2.61,6.89,-4.12
1730827969708252416,5.331522052752745,-4.876985296240778,1.445089347806389,10.04,-1.55,7.25,0.21,3.28,0.11,2.6,-2.59,6.86,-4.06
1730827969808315392,5.3341928611403455,-4.8548086507607024,1.452284399341282,9.94,-1.55,7.19,0.12,3.33,0.05,2.66,-2.57,6.84,-4.0
